freq,dbfs,dbspl,rms,min_amp,max_amp,tag
506.9,-58,69.96,0.0005,-0.0012,0.0012,
230.29,-54,71.54,0.0006,-0.002,0.0018,
115.14,-52,74.04,0.0008,-0.0025,0.002,
1696.15,-59,68.02,0.0004,-0.0011,0.0009,
115.14,-51,74.04,0.0008,-0.0027,0.0022,
230.29,-51,72.88,0.0007,-0.0019,0.0027,
1013.79,-55,71.54,0.0006,-0.0018,0.0015,
115.14,-50,75.06,0.0009,-0.003,0.0025,
115.14,-49,77.56,0.0012,-0.0037,0.0027,
501.14,-53,76.81,0.0011,-0.0022,0.0019,
689.06,-53,75.06,0.0009,-0.0023,0.0022,
115.14,-48,76.81,0.0011,-0.0038,0.0027,
1013.79,-52,75.06,0.0009,-0.0018,0.0025,
115.14,-48,77.56,0.0012,-0.0029,0.0039,
272.22,-50,78.9,0.0014,-0.0032,0.003,
428.16,-47,78.26,0.0013,-0.0044,0.0034,
115.14,-48,78.9,0.0014,-0.0037,0.0041,
1520.69,-46,78.9,0.0014,-0.0023,0.0048,
230.29,-46,80.06,0.0016,-0.0039,0.005,
501.14,-44,83.58,0.0024,-0.005,0.0061,
115.14,-44,84.28,0.0026,-0.0064,0.0052,
226.15,-45,82.0,0.002,-0.0043,0.0057,
115.14,-47,79.5,0.0015,-0.0044,0.0046,
501.14,-45,82.83,0.0022,-0.0056,0.0041,
115.14,-47,81.08,0.0018,-0.0044,0.0044,
506.9,-50,78.26,0.0013,-0.0025,0.0033,
115.14,-45,82.83,0.0022,-0.0059,0.0049,
182.23,-49,78.26,0.0013,-0.0029,0.0037,
230.29,-44,81.55,0.0019,-0.0062,0.0044,
506.9,-48,80.59,0.0017,-0.0041,0.0037,
115.14,-44,83.94,0.0025,-0.0061,0.0059,
1002.27,-48,80.06,0.0016,-0.0041,0.0031,
230.29,-45,81.08,0.0018,-0.0057,0.0055,
168.32,-46,80.59,0.0017,-0.0049,0.0041,
211.0,-47,79.5,0.0015,-0.0037,0.0045,
506.9,-46,81.55,0.0019,-0.0049,0.003,
506.9,-48,80.59,0.0017,-0.0033,0.0041,
149.49,-46,81.55,0.0019,-0.0044,0.0051,
504.0,-46,79.5,0.0015,-0.0051,0.004,
345.43,-45,81.08,0.0018,-0.0059,0.0047,
501.14,-49,78.9,0.0014,-0.0035,0.0031,
115.14,-46,80.06,0.0016,-0.0036,0.0049,
506.9,-48,78.9,0.0014,-0.004,0.0032,
268.09,-47,80.06,0.0016,-0.0045,0.0042,
115.14,-45,82.42,0.0021,-0.0045,0.0058,
115.14,-44,82.42,0.0021,-0.006,0.0061,
121.82,-44,81.08,0.0018,-0.0036,0.006,
115.14,-43,82.42,0.0021,-0.0068,0.0049,
115.14,-44,84.92,0.0028,-0.0065,0.0063,
115.14,-43,84.61,0.0027,-0.0062,0.0071,
115.14,-45,82.0,0.002,-0.0047,0.0056,
345.43,-45,81.55,0.0019,-0.0047,0.0057,
460.57,-48,79.5,0.0015,-0.004,0.0039,
115.14,-45,82.0,0.002,-0.0055,0.0054,
1520.69,-48,78.9,0.0014,-0.0042,0.003,
230.29,-44,81.08,0.0018,-0.0052,0.0063,
1116.46,-50,78.26,0.0013,-0.0031,0.0033,
115.14,-46,81.55,0.0019,-0.0051,0.0051,
115.14,-45,80.06,0.0016,-0.0055,0.0048,
506.9,-46,82.42,0.0021,-0.0048,0.0027,
115.14,-45,82.0,0.002,-0.0055,0.0045,
115.14,-44,82.83,0.0022,-0.0059,0.0061,
501.14,-47,81.55,0.0019,-0.004,0.0047,
345.43,-45,81.55,0.0019,-0.0057,0.005,
115.14,-43,82.42,0.0021,-0.0074,0.0047,
115.14,-45,81.08,0.0018,-0.0056,0.0036,
1494.92,-48,79.5,0.0015,-0.0032,0.0039,
115.14,-45,81.55,0.0019,-0.0043,0.0054,
1520.69,-48,81.08,0.0018,-0.0036,0.0038,
115.14,-44,80.59,0.0017,-0.0045,0.006,
115.14,-46,82.0,0.002,-0.0038,0.0053,
506.9,-47,81.55,0.0019,-0.0036,0.0042,
116.67,-46,81.08,0.0018,-0.0051,0.0042,
460.57,-47,80.06,0.0016,-0.0038,0.0045,
501.14,-48,80.59,0.0017,-0.0037,0.0041,
115.14,-46,81.08,0.0018,-0.0039,0.0053,
506.9,-48,78.9,0.0014,-0.0038,0.0034,
115.14,-44,82.0,0.002,-0.0061,0.0036,
352.8,-46,82.83,0.0022,-0.004,0.0052,
639.13,-47,80.59,0.0017,-0.0047,0.0038,
115.14,-46,82.0,0.002,-0.0043,0.0048,
230.29,-44,81.08,0.0018,-0.0044,0.006,
277.36,-48,79.5,0.0015,-0.0041,0.0036,
141.35,-46,81.08,0.0018,-0.005,0.0048,
345.43,-45,80.59,0.0017,-0.0053,0.0054,
1013.79,-47,79.5,0.0015,-0.0045,0.0032,
115.14,-43,82.0,0.002,-0.0045,0.0068,
1013.79,-48,79.5,0.0015,-0.004,0.0035,
115.14,-43,82.83,0.0022,-0.0068,0.0048,
229.69,-46,81.08,0.0018,-0.0051,0.0041,
158.63,-47,79.5,0.0015,-0.0045,0.0039,
115.14,-44,82.83,0.0022,-0.0063,0.0043,
115.14,-45,81.08,0.0018,-0.0055,0.0041,
180.0,-47,80.06,0.0016,-0.0043,0.0042,
230.29,-44,81.55,0.0019,-0.0044,0.0061,
1503.41,-48,77.56,0.0012,-0.0038,0.0028,
230.29,-46,80.59,0.0017,-0.0049,0.004,
170.27,-46,82.0,0.002,-0.0048,0.0044,
209.0,-47,81.55,0.0019,-0.0046,0.0046,
115.14,-45,81.08,0.0018,-0.0055,0.0053,
345.43,-45,81.55,0.0019,-0.0057,0.0044,
115.14,-45,82.42,0.0021,-0.0058,0.0058,
115.14,-45,82.83,0.0022,-0.0046,0.0058,
115.14,-44,83.21,0.0023,-0.0046,0.0066,
501.14,-49,80.06,0.0016,-0.0036,0.0033,
135.28,-48,79.5,0.0015,-0.004,0.0035,
608.28,-47,78.26,0.0013,-0.0044,0.0035,
115.14,-43,82.83,0.0022,-0.0074,0.0046,
506.9,-44,84.61,0.0027,-0.0051,0.0061,
115.14,-44,82.42,0.0021,-0.0061,0.0058,
345.43,-45,80.59,0.0017,-0.0038,0.0056,
501.14,-49,76.81,0.0011,-0.0035,0.0031,
122.84,-44,82.0,0.002,-0.006,0.0046,
115.14,-44,83.58,0.0024,-0.0056,0.0064,
1013.79,-47,79.5,0.0015,-0.0034,0.0043,
115.14,-43,84.61,0.0027,-0.0058,0.0074,
115.14,-43,83.21,0.0023,-0.0049,0.0071,
115.14,-46,81.55,0.0019,-0.005,0.0051,
501.14,-49,78.9,0.0014,-0.0034,0.0034,
575.72,-48,78.9,0.0014,-0.0042,0.0039,
506.9,-48,79.5,0.0015,-0.0027,0.0041,
345.43,-46,80.06,0.0016,-0.0037,0.005,
115.14,-44,83.21,0.0023,-0.0052,0.0066,
501.14,-44,81.08,0.0018,-0.0034,0.0063,
115.14,-44,82.42,0.0021,-0.0049,0.0065,
580.26,-49,80.59,0.0017,-0.0036,0.0037,
230.29,-45,82.0,0.002,-0.0056,0.0047,
506.9,-45,82.42,0.0021,-0.0037,0.0054,
115.14,-44,82.83,0.0022,-0.0064,0.0051,
345.43,-45,82.42,0.0021,-0.0055,0.0053,
501.14,-50,81.08,0.0018,-0.003,0.0032,
115.14,-45,83.94,0.0025,-0.0047,0.0059,
678.46,-47,80.06,0.0016,-0.0031,0.0044,
230.29,-45,83.21,0.0023,-0.0057,0.0054,
1520.69,-46,81.08,0.0018,-0.0043,0.0051,
115.14,-46,81.08,0.0018,-0.0048,0.0051,
1002.27,-46,82.0,0.002,-0.0051,0.0044,
230.29,-46,80.59,0.0017,-0.0047,0.0052,
506.9,-49,79.5,0.0015,-0.0035,0.0022,
115.14,-47,80.59,0.0017,-0.0043,0.0041,
230.29,-44,81.55,0.0019,-0.0061,0.0061,
115.14,-44,81.55,0.0019,-0.0048,0.0064,
501.14,-46,81.08,0.0018,-0.0048,0.0035,
115.14,-45,82.0,0.002,-0.0044,0.0055,
501.14,-49,80.59,0.0017,-0.0036,0.0035,
115.14,-44,82.0,0.002,-0.006,0.0043,
1013.79,-51,78.26,0.0013,-0.0025,0.0029,
115.14,-43,83.21,0.0023,-0.0049,0.0072,
1013.79,-47,80.59,0.0017,-0.0038,0.0045,
126.72,-45,82.0,0.002,-0.005,0.0057,
345.43,-47,80.06,0.0016,-0.0044,0.004,
115.14,-45,82.0,0.002,-0.0054,0.0057,
421.34,-45,81.08,0.0018,-0.0059,0.0046,
230.29,-46,80.59,0.0017,-0.005,0.0042,
115.14,-44,81.08,0.0018,-0.0065,0.0047,
115.14,-44,81.55,0.0019,-0.0054,0.0067,
1002.27,-49,79.5,0.0015,-0.0036,0.0033,
233.33,-46,80.59,0.0017,-0.0032,0.0048,
313.88,-46,81.08,0.0018,-0.0045,0.005,
230.29,-47,80.06,0.0016,-0.0041,0.0046,
1013.79,-50,78.26,0.0013,-0.003,0.0029,
115.14,-45,81.08,0.0018,-0.0058,0.0043,
115.14,-44,82.83,0.0022,-0.0056,0.0065,
115.14,-44,82.42,0.0021,-0.0048,0.0062,
506.9,-47,81.08,0.0018,-0.0037,0.0046,
344.53,-47,80.59,0.0017,-0.0045,0.0042,
206.07,-49,80.06,0.0016,-0.0033,0.0037,
345.43,-47,80.59,0.0017,-0.0045,0.0045,
230.29,-45,79.5,0.0015,-0.0043,0.0053,
115.14,-46,81.55,0.0019,-0.0049,0.005,
506.9,-50,77.56,0.0012,-0.0027,0.003,
506.9,-44,85.23,0.0029,-0.0062,0.0037,
345.43,-46,81.08,0.0018,-0.0049,0.005,
600.0,-47,80.59,0.0017,-0.0045,0.0041,
115.14,-44,81.08,0.0018,-0.0066,0.0052,
506.9,-48,78.9,0.0014,-0.0029,0.0039,
575.72,-47,78.9,0.0014,-0.0047,0.0035,
247.75,-44,81.55,0.0019,-0.0063,0.0033,
386.84,-45,80.59,0.0017,-0.0053,0.0044,
230.29,-46,81.08,0.0018,-0.0051,0.0041,
1013.79,-46,80.06,0.0016,-0.0027,0.0048,
115.14,-46,81.55,0.0019,-0.0047,0.0051,
501.14,-46,80.06,0.0016,-0.0032,0.005,
115.14,-48,80.06,0.0016,-0.0041,0.0038,
115.14,-45,80.59,0.0017,-0.0047,0.0056,
115.14,-44,83.21,0.0023,-0.0049,0.0061,
115.14,-47,80.59,0.0017,-0.0045,0.0047,
506.9,-49,78.26,0.0013,-0.0026,0.0034,
115.14,-45,81.55,0.0019,-0.0057,0.0048,
115.14,-46,80.59,0.0017,-0.0041,0.0051,
115.14,-45,82.0,0.002,-0.0057,0.0042,
501.14,-47,81.55,0.0019,-0.0029,0.0045,
115.14,-43,83.58,0.0024,-0.0053,0.0074,
2027.59,-50,78.9,0.0014,-0.0032,0.0032,
595.95,-47,78.9,0.0014,-0.0046,0.003,
230.29,-45,81.08,0.0018,-0.0046,0.0059,
115.14,-43,82.0,0.002,-0.0044,0.0068,
501.14,-47,82.42,0.0021,-0.0037,0.0043,
115.14,-45,81.08,0.0018,-0.0048,0.0058,
115.14,-47,78.9,0.0014,-0.0043,0.0037,
506.9,-47,80.06,0.0016,-0.0046,0.0036,
2205.0,-50,79.5,0.0015,-0.0025,0.003,
115.14,-44,81.08,0.0018,-0.004,0.0061,
115.14,-45,82.0,0.002,-0.0057,0.0055,
506.9,-50,77.56,0.0012,-0.0031,0.0029,
115.14,-43,80.59,0.0017,-0.0047,0.0072,
501.14,-47,81.08,0.0018,-0.0046,0.0045,
115.14,-44,82.0,0.002,-0.0064,0.0049,
115.14,-44,83.58,0.0024,-0.0062,0.0059,
115.14,-45,82.42,0.0021,-0.0055,0.0045,
115.14,-45,82.42,0.0021,-0.0053,0.005,
506.9,-49,78.26,0.0013,-0.0026,0.0035,
115.14,-45,82.0,0.002,-0.0055,0.0047,
501.14,-49,78.9,0.0014,-0.0036,0.003,
115.14,-46,82.0,0.002,-0.0046,0.0048,
115.14,-44,81.55,0.0019,-0.0062,0.0062,
230.29,-45,81.08,0.0018,-0.0055,0.0045,
1002.27,-49,78.9,0.0014,-0.003,0.0037,
506.9,-49,79.5,0.0015,-0.0037,0.0033,
367.5,-46,83.21,0.0023,-0.0053,0.0047,
251.28,-45,81.55,0.0019,-0.0041,0.0058,
230.29,-48,79.5,0.0015,-0.0041,0.0041,
506.9,-44,82.42,0.0021,-0.0034,0.0066,
115.14,-45,82.42,0.0021,-0.0056,0.0056,
506.9,-47,80.06,0.0016,-0.0039,0.0044,
230.29,-43,83.21,0.0023,-0.0067,0.0059,
501.14,-45,81.55,0.0019,-0.0033,0.0057,
288.24,-46,82.0,0.002,-0.0043,0.0051,
278.23,-43,82.42,0.0021,-0.0072,0.0047,
115.14,-42,82.42,0.0021,-0.0078,0.0056,
115.14,-46,81.55,0.0019,-0.0051,0.0046,
115.14,-47,80.59,0.0017,-0.0045,0.0046,
506.9,-46,81.55,0.0019,-0.0052,0.0029,
235.83,-44,82.83,0.0022,-0.0049,0.0061,
155.28,-44,82.0,0.002,-0.0049,0.0062,
115.14,-48,80.06,0.0016,-0.0039,0.0041,
506.9,-46,80.59,0.0017,-0.0048,0.003,
345.43,-45,82.0,0.002,-0.0054,0.0045,
176.4,-43,83.94,0.0025,-0.0051,0.0068,
345.43,-45,80.59,0.0017,-0.0056,0.0047,
506.9,-47,79.5,0.0015,-0.0044,0.0025,
230.29,-47,79.5,0.0015,-0.0031,0.0047,
1002.27,-49,78.9,0.0014,-0.0035,0.0035,
406.45,-49,78.26,0.0013,-0.0035,0.0035,
115.14,-46,80.59,0.0017,-0.0042,0.0051,
115.14,-45,81.08,0.0018,-0.0056,0.0047,
501.14,-48,81.08,0.0018,-0.0041,0.0032,
153.66,-44,82.83,0.0022,-0.0066,0.0062,
239.67,-46,83.21,0.0023,-0.0046,0.005,
115.14,-46,81.55,0.0019,-0.0048,0.0049,
115.14,-46,81.55,0.0019,-0.0041,0.005,
137.81,-46,81.08,0.0018,-0.0052,0.0047,
230.29,-46,80.06,0.0016,-0.0052,0.0045,
115.14,-44,83.21,0.0023,-0.0052,0.0066,
506.9,-44,82.0,0.002,-0.0061,0.0046,
230.29,-45,82.42,0.0021,-0.0058,0.0052,
506.9,-44,85.81,0.0031,-0.0054,0.0061,
115.14,-44,83.94,0.0025,-0.0058,0.0064,
506.9,-50,78.9,0.0014,-0.0033,0.0033,
115.14,-45,82.83,0.0022,-0.0054,0.0056,
345.43,-44,82.83,0.0022,-0.006,0.0062,
506.9,-47,80.59,0.0017,-0.0042,0.0042,
115.14,-45,82.0,0.002,-0.0052,0.0055,
11025.0,-58,75.06,0.0009,-0.0012,0.0012,
115.14,-45,81.55,0.0019,-0.0054,0.0055,
230.29,-45,81.55,0.0019,-0.0055,0.0056,
115.14,-46,80.59,0.0017,-0.0048,0.0042,
115.14,-45,82.0,0.002,-0.0058,0.0053,
115.14,-47,81.55,0.0019,-0.0045,0.0044,
506.9,-48,80.59,0.0017,-0.0034,0.0042,
115.14,-44,83.94,0.0025,-0.0064,0.0065,
115.14,-43,84.61,0.0027,-0.0056,0.0071,
115.14,-44,82.42,0.0021,-0.0064,0.005,
575.72,-47,79.5,0.0015,-0.0047,0.0042,
506.9,-46,82.42,0.0021,-0.0038,0.0049,
345.43,-46,80.06,0.0016,-0.0048,0.0038,
115.14,-45,81.55,0.0019,-0.0047,0.0055,
345.43,-47,80.06,0.0016,-0.0042,0.0047,
115.14,-46,81.08,0.0018,-0.005,0.0044,
460.57,-45,80.06,0.0016,-0.004,0.0057,
115.14,-43,82.0,0.002,-0.0071,0.0045,
230.29,-47,79.5,0.0015,-0.0044,0.0037,
460.57,-44,81.08,0.0018,-0.0052,0.006,
1013.79,-47,78.9,0.0014,-0.0028,0.0043,
525.0,-46,79.5,0.0015,-0.005,0.0043,
115.14,-45,82.0,0.002,-0.0055,0.0054,
115.14,-45,81.08,0.0018,-0.0058,0.005,
506.9,-44,83.21,0.0023,-0.0061,0.0033,
345.43,-46,79.5,0.0015,-0.005,0.0045,
501.14,-45,82.83,0.0022,-0.0042,0.0053,
115.14,-45,81.08,0.0018,-0.0043,0.0058,
376.92,-46,81.08,0.0018,-0.0047,0.0043,
124.93,-43,81.55,0.0019,-0.0067,0.005,
230.29,-47,79.5,0.0015,-0.0045,0.0046,
1002.27,-48,78.9,0.0014,-0.0033,0.0041,
115.14,-44,81.55,0.0019,-0.0061,0.005,
115.14,-44,83.58,0.0024,-0.0053,0.0065,
501.14,-45,82.42,0.0021,-0.0059,0.0037,
137.81,-46,80.59,0.0017,-0.0051,0.0043,
115.14,-47,80.06,0.0016,-0.0043,0.0033,
1013.79,-47,80.06,0.0016,-0.0045,0.0031,
239.67,-47,80.06,0.0016,-0.0043,0.0033,
307.32,-45,80.59,0.0017,-0.0059,0.0049,
115.14,-47,81.55,0.0019,-0.0047,0.0045,
115.14,-47,81.08,0.0018,-0.0044,0.0047,
501.14,-47,83.21,0.0023,-0.0046,0.0036,
203.23,-47,80.59,0.0017,-0.0038,0.0045,
115.14,-45,82.0,0.002,-0.0054,0.0046,
460.57,-46,79.5,0.0015,-0.0048,0.0039,
345.43,-46,80.59,0.0017,-0.005,0.0044,
351.39,-44,83.94,0.0025,-0.0065,0.0058,
200.45,-45,80.59,0.0017,-0.0053,0.0037,
115.14,-43,82.83,0.0022,-0.0056,0.007,
115.14,-44,83.21,0.0023,-0.0065,0.0052,
5011.36,-48,78.9,0.0014,-0.003,0.0041,
230.29,-43,82.83,0.0022,-0.0054,0.0068,
155.28,-44,82.83,0.0022,-0.0066,0.0049,
460.57,-46,80.59,0.0017,-0.0051,0.0042,
1503.41,-49,78.26,0.0013,-0.0034,0.0029,
115.14,-47,81.08,0.0018,-0.0047,0.0042,
506.9,-48,81.55,0.0019,-0.0037,0.0039,
115.14,-44,82.0,0.002,-0.0044,0.0065,
501.14,-48,80.59,0.0017,-0.0037,0.0038,
278.23,-46,82.0,0.002,-0.0051,0.004,
115.14,-44,84.28,0.0026,-0.0066,0.0042,
506.9,-45,83.21,0.0023,-0.0036,0.0057,
115.14,-43,83.21,0.0023,-0.0074,0.0048,
115.14,-43,81.08,0.0018,-0.005,0.0071,
251.28,-45,82.42,0.0021,-0.0055,0.0059,
367.5,-46,84.28,0.0026,-0.0051,0.0048,
115.14,-45,83.94,0.0025,-0.0058,0.0057,
115.14,-47,80.59,0.0017,-0.004,0.0045,
506.9,-47,81.08,0.0018,-0.0044,0.0036,
115.14,-43,82.0,0.002,-0.0068,0.005,
230.29,-48,79.5,0.0015,-0.0037,0.004,
115.14,-46,81.55,0.0019,-0.0045,0.0048,
4490.6,-40,83.94,0.0025,-0.0058,0.0098,
3548.28,-42,84.92,0.0028,-0.0079,0.0056,
230.29,-41,85.81,0.0031,-0.0088,0.0089,
3328.3,-44,83.94,0.0025,-0.0051,0.006,
115.14,-39,87.8,0.0039,-0.0112,0.0111,
3507.95,-36,91.97,0.0063,-0.0131,0.0159,
4260.31,-36,90.46,0.0053,-0.0151,0.015,
4562.07,-35,92.37,0.0066,-0.0158,0.0173,
4490.6,-32,94.97,0.0089,-0.0255,0.0266,
5188.24,-34,95.26,0.0092,-0.0195,0.0173,
4642.11,-36,91.4,0.0059,-0.0165,0.0062,
4375.46,-27,98.59,0.0135,-0.0448,0.0359,
2505.68,-28,98.96,0.0141,-0.0376,0.0228,
3569.45,-26,100.89,0.0176,-0.0459,0.049,
4562.07,-28,100.89,0.0176,-0.0397,0.036,
2993.73,-27,100.01,0.0159,-0.0426,0.0427,
4510.23,-28,99.5,0.015,-0.0381,0.0353,
2418.02,-25,99.84,0.0156,-0.056,0.0353,
4055.17,-34,95.44,0.0094,-0.0205,0.0199,
3150.0,-35,95.98,0.01,-0.0169,0.0128,
1957.44,-29,95.71,0.0097,-0.0267,0.0347,
4832.88,-31,95.53,0.0095,-0.0272,0.0218,
4951.17,-32,94.36,0.0083,-0.0258,0.0231,
4009.09,-33,93.13,0.0072,-0.0215,0.0144,
4030.03,-35,93.13,0.0072,-0.0179,0.0173,
2027.59,-36,92.76,0.0069,-0.0151,0.0137,
4030.03,-34,90.79,0.0055,-0.0202,0.0143,
4009.09,-39,89.6,0.0048,-0.0113,0.0113,
2814.89,-43,88.65,0.0043,-0.0064,0.0071,
4720.89,-35,91.1,0.0057,-0.0177,0.0143,
2205.0,-40,88.44,0.0042,-0.0075,0.0105,
4490.6,-34,92.1,0.0064,-0.021,0.0185,
2027.59,-34,92.24,0.0065,-0.0171,0.0204,
4375.46,-21,100.17,0.0162,-0.0686,0.088,
4510.23,-22,108.36,0.0416,-0.0772,0.0837,
4490.6,-23,104.57,0.0269,-0.0697,0.0674,
4055.17,-21,106.76,0.0346,-0.0876,0.078,
4900.0,-23,105.95,0.0315,-0.0675,0.0721,
4375.46,-23,103.9,0.0249,-0.0734,0.0715,
6300.0,-23,109.38,0.0468,-0.045,0.0723,
4490.6,-22,103.58,0.024,-0.0766,0.0704,
4562.07,-26,103.97,0.0251,-0.0514,0.0471,
3799.74,-24,100.69,0.0172,-0.0621,0.0489,
2534.48,-29,98.39,0.0132,-0.034,0.028,
4490.6,-26,99.67,0.0153,-0.0516,0.0504,
5011.36,-32,96.49,0.0106,-0.0208,0.0246,
5028.95,-30,97.27,0.0116,-0.0269,0.0302,
4459.55,-29,94.87,0.0088,-0.0247,0.0343,
4490.6,-32,95.71,0.0097,-0.025,0.0265,
3507.95,-33,94.46,0.0084,-0.017,0.0219,
4375.46,-34,93.25,0.0073,-0.0211,0.019,
4375.46,-36,90.3,0.0052,-0.0148,0.0151,
4562.07,-37,91.69,0.0061,-0.0144,0.0115,
4469.59,-38,90.13,0.0051,-0.0127,0.011,
4505.57,-33,93.82,0.0078,-0.0236,0.0193,
4605.74,-35,91.83,0.0062,-0.018,0.0181,
4055.17,-37,91.83,0.0062,-0.0134,0.0142,
4605.74,-34,91.54,0.006,-0.0198,0.0177,
4510.23,-37,90.46,0.0053,-0.0088,0.0144,
4260.31,-27,96.65,0.0108,-0.0446,0.0415,
